dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,Nx*c,V(mm鲁),P
7,4.2,7,7789.82 ,0.97 ,,11.4,4.6,5,11849.25 ,0.66 ,,,,,,,,10,3.6,6,13987.584,0.704867691
7,1.2,7,5751.42 ,0.96 ,,11.4,4.6,5,11087.73 ,0.88 ,,,,,,,,10,3.8,6,12646.1088,0.75515753
7,1.8,7,7242.37 ,0.87 ,,11.4,4.6,9,18565.75 ,0.91 ,,,,,,,,10,4.8,6,13426.7328,0.785999447
7,2.6,7,7665.28 ,0.90 ,,11.4,4.6,6,13660.44 ,0.97 ,,,,,,,,10,4.8,6,15036.6528,0.747733384
7,3.8,7,8299.65 ,0.96 ,,11.4,4.6,7,14593.78 ,0.97 ,,,,,,,,10,5,6,13582.8576,0.801549733
7,4,7,8405.38 ,0.98 ,,11.4,4.6,8,14252.08 ,0.67 ,,,,,,,,10,1,6,12655.2816,0.8162622
7,1.8,8,7747.49 ,0.93 ,,11.4,4.6,8,15386.80 ,0.83 ,,,,,,,,10,1.4,6,13033.0512,0.794297531
7,3,8,8379.94 ,0.93 ,,12.5,5.1,2,9114.14 ,0.49 ,,,,,,,,10,1.8,6,12081.7008,0.796956256
7,1.4,9,8724.67 ,0.98 ,,12.5,5.1,2,10170.24 ,0.45 ,,,,,,,,10,1.8,6,13410.8208,0.777215272
8,3.2,2,4948.67 ,0.90 ,,12.5,5.1,3,13326.83 ,0.64 ,,,,,,,,10,2.2,6,13788.5904,0.783666134
8,1.8,2,4541.64 ,0.91 ,,12.5,5.1,3,14580.53 ,0.60 ,,,,,,,,10,2.4,6,12592.1952,0.816436306
8,3.4,2,5331.48 ,0.78 ,,12.5,5.1,3,14267.11 ,0.62 ,,,,,,,,10,2.8,6,14355.2448,0.809267193
8,3.6,2,4840.62 ,0.91 ,,12.5,5.1,3,15520.81 ,0.59 ,,,,,,,,10,3,6,13102.6896,0.839539498
8,3.2,3,4437.42 ,0.96 ,,12.5,5.1,4.5,16006.41 ,0.53 ,,,,,,,,10,3.4,6,14921.8992,0.830798015
8,3.2,3,5151.98 ,0.83 ,,12.5,5.1,4.5,17191.49 ,0.57 ,,,,,,,,10,3.6,6,13613.184,0.861523971
8,3,4.5,8269.62 ,1.00 ,,12.5,5.1,3,10819.43 ,0.53 ,,,,,,,,10,3.6,6,15110.784,0.844558954
8,1.4,3,4050.69 ,0.89 ,,12.5,5.1,3,12073.13 ,0.52 ,,,,,,,,10,3.8,6,13783.3488,0.87589936
8,1.4,3,4654.37 ,0.81 ,,12.5,5.1,4.5,18376.56 ,0.69 ,,,,,,,,10,4.4,6,15866.3232,0.884604067
8,2.8,3,4629.36 ,0.81 ,,12.5,5.1,3,11446.28 ,0.64 ,,,,,,,,10,4.6,6,14464.008,0.925342411
8,4.6,3,6174.17 ,0.68 ,,12.5,5.1,3,12699.98 ,0.64 ,,,,,,,,10,4.6,6,16055.208,0.900621474
8,4.8,3,5456.04 ,0.80 ,,12.5,5.1,4.5,17981.54 ,0.87 ,,,,,,,,10,4.8,6,14634.1728,0.941003948
8,4.2,4.5,9817.21 ,0.86 ,,12.5,5.1,4.5,19561.64 ,0.86 ,,,,,,,,10,5.2,6,16621.8624,0.934523761
8,1.2,3,4263.71 ,0.81 ,,12.5,5.1,3,12073.13 ,0.77 ,,,,,,,,10,5.4,6,15144.6672,0.973325759
8,1.2,3,4855.07 ,0.75 ,,12.5,5.1,4,9728.20 ,0.52 ,,,,,,,,10,5.4,6,16810.7472,0.949717537
